ID,PointName,Meta:State,Brick:L1PointClass,Brick:PointClass,Subpart:EntityClassL0,Subpart:EntityClassL1,Haystack:Markers,Haystack:CustomMarkers,Haystack:FunctionMarker,Haystack:PointHisParameters,,,,,
9c49e683,Economizer Damper Position Command,Subparts,Command,Position_Command,Economizer_Damper,,"economizer, air, damper",,cmd,hisMode:sampled,,,,,
89b303bc,Economizer Damper Position,Subparts,Sensor,Position_Sensor,Economizer_Damper,,"economizer, air, damper",,sensor|sp,hisMode:sampled,,,,,
bdd2e7cf,Economizer Air Damper Override Status,Subparts,Status,Overriden_Status,Economizer_Damper,,"economizer, air, damper",override,sensor|sp,hisMode:sampled,,,,,
ee114fec,Economizer Air Damper Override Command,Subparts,Command,Override_Command,Economizer_Damper,,"economizer, air, damper",override,cmd|sp,hisMode:sampled,,,,,
0fd13d78,Exhaust Air Damper Position Command,Subparts,Command,Position_Command,Exhaust_Damper,,"exhaust, air, damper",,cmd,hisMode:sampled,,,,,
66c51290,Exhaust Air Damper Position,Subparts,Sensor,Position_Sensor,Exhaust_Damper,,"exhaust, air, damper",,sensor|sp,hisMode:sampled,,,,,
fa7a1d83,Exhaust Air Damper Override Status,Subparts,Status,Overriden_Status,Exhaust_Damper,,"exhaust, air, damper",override,sensor|sp,hisMode:sampled,,,,,
f7ddc682,Exhaust Air Damper Override Command,Subparts,Command,Override_Command,Exhaust_Damper,,"exhaust, air, damper",override,cmd|sp,hisMode:sampled,,,,,
4ade4ce7,Damper Position Command,Subparts,Command,Position_Command,Damper,,damper,,cmd,hisMode:sampled,,,,,
e34adacb,Damper Position,Subparts,Sensor,Position_Sensor,Damper,,damper,,sensor|sp,hisMode:sampled,,,,,
cab0d3be,Damper Command,Subparts,Command,Command,Damper,,damper,,cmd,hisMode:sampled,,,,,
0f016563,Damper Override Status,Subparts,Status,Overriden_Status,Damper,,damper,override,sensor|sp,hisMode:sampled,,,,,
fa3d4816,Damper Override Command,Subparts,Command,Override_Command,Damper,,damper,override,cmd|sp,hisMode:sampled,,,,,
248b4d36,Discharge Air Fan Run Command,Subparts,Command,On_Off_Command,Discharge_Fan,,"discharge, air, fan, run",,cmd,hisMode:sampled,,,,,
